ticker,liq_notional,adl_notional,total_notional,liq_events,adl_events,total_events,liq_pnl,adl_pnl,total_pnl
BTC,1789607763.719184,620890947.7263399,2410498711.4455237,5419,2443,7862,-48960745.15650401,72834224.130543,23873478.97403898
ETH,1058159258.958608,458008925.03371996,1516168183.992328,3462,1498,4960,-62989690.54307202,110553424.91825901,47563734.37518699
SOL,618098440.07093,276200960.5825,894299400.65343,5563,3031,8594,-48903702.36286698,69136517.65033199,20232815.287465006
HYPE,492093329.210212,189932888.08489,682026217.295102,8975,6229,15204,-48478563.211891994,51665287.384261996,3186724.1723700017
XPL,178676124.41917202,65849039.1375,244525163.55667204,4248,2984,7232,-60119468.15035801,119388212.763551,59268744.61319299
PUMP,147483588.148381,57293422.024491,204777010.172872,3300,1868,5168,-30822701.23835,31523223.181210004,700521.9428600036
ENA,122705742.602884,42494476.46793,165200219.07081398,1246,360,1606,-50306624.721757,50203243.510481,-103381.21127600223
AVAX,105138452.682133,36642782.689227,141781235.37136,989,407,1396,-22520757.859921,23779338.745262004,1258580.8853410035
XRP,83070003.266564,31422285.059499998,114492288.32606399,1035,607,1642,-17515712.851982996,13342514.061068002,-4173198.7909149937
ASTER,86368569.613798,27183535.67802,113552105.29181801,2465,431,2896,-20108789.259729,15384168.822077,-4724620.437652001
FARTCOIN,72871031.768764,31991224.022531997,104862255.791296,2819,1999,4818,-28699448.838569,68272960.54699701,39573511.70842801
LTC,65844050.313194,21130168.38951,86974218.702704,689,197,886,-7670773.1961,6682416.911701,-988356.284399
ZEC,66918682.910406,18910182.6066,85828865.51700601,896,400,1296,-3087806.436655001,2537940.010689,-549866.4259660007
LINK,63905376.606246,21522160.54814,85427537.154386,1221,259,1480,-8753015.197601998,12555115.806037998,3802100.6084359996
DOGE,52836035.018249996,16487948.01327,69323983.03152,507,249,756,-17941752.478505,10539485.157745,-7402267.3207600005
SUI,40061700.932397,13366242.425725,53427943.358122,952,442,1394,-7854137.411145,9885986.86666,2031849.455515001
MNT,28048755.840682,10115187.861370001,38163943.702052,527,211,738,-5766146.823830999,5580602.295423001,-185544.52840799838
IP,27374620.321188,9347849.66935,36722469.990538,344,270,614,-3905296.359495,6369495.382761001,2464199.0232660007
TAO,25566048.983076,8664278.5153,34230327.498376,665,167,832,-5177573.076882999,5847181.718608,669608.6417250009
EIGEN,24685557.670364,7635134.385644,32320692.056008,266,136,402,-9642064.659761999,8367947.05397,-1274117.605791999
UNI,22576344.278008,7996968.17786,30573312.455868,388,172,560,-6344051.947188001,6671322.462718001,327270.5155299995
PENGU,19444147.054867,10586141.522231,30030288.577097997,888,372,1260,-4664223.58335,9165467.206806,4501243.623456
kBONK,16594831.114338,5537900.664542,22132731.77888,244,144,388,-6024259.385671,12360885.391773999,6336626.006102999
WLD,15407189.28229,4146542.4085540003,19553731.690844,334,232,566,-14158916.459881999,8188021.683735,-5970894.776146999
LAUNCHCOIN,14760960.683387,3659160.473367,18420121.156754002,333,155,488,-5049445.1381560005,2243619.386583,-2805825.7515730006
ZRO,14035526.036403999,4292021.85828,18327547.894683998,278,166,444,-3533051.3125950005,3476996.6925580003,-56054.62003700016
CRV,11458727.32402,4838929.663318,16297656.987337999,378,188,566,-3277747.504189,5974047.994937,2696300.490748
kPEPE,11409138.33171,4047752.1501599997,15456890.48187,280,166,446,-3251522.2044320004,6929617.99816,3678095.7937279996
BERA,9857465.196352,3518684.66472,13376149.861072,285,133,418,-2447072.519211,3056224.2903110003,609151.7711000005
TRUMP,9108111.951994,3466111.39955,12574223.351544,299,255,554,-5465323.488468,5709361.201572999,244037.71310499962
LINEA,6807630.891982,5370777.307668,12178408.19965,356,186,542,-209367.2216499998,3724050.296731,3514683.075081
SNX,9560777.458223,2112986.310677,11673763.7689,177,73,250,-2874752.220708,848520.384159,-2026231.8365489999
ADA,8712852.05992,2834680.7656199997,11547532.825539999,353,221,574,-1306165.0664200003,1862765.87702,556600.8105999997
BNB,8379029.422256,2652773.92323,11031803.345486,358,304,662,-551962.9366780001,861576.74919,309613.81251199986
LDO,5736347.493527,4480696.559335,10217044.052862,155,97,252,-607785.1414350001,2296570.451282,1688785.309847
AAVE,7668783.937764,2537416.47036,10206200.408124,316,74,390,-1181011.121326,1590639.195873,409628.074547
WLFI,7393400.392609,2466181.055991,9859581.4486,276,84,360,-1103659.0349960004,2824109.409985,1720450.3749889995
TON,7104743.653886001,2426982.60915,9531726.263036001,186,98,284,-1671871.391458,3151725.833325,1479854.441867
NEAR,7257278.123458001,2264869.2005800004,9522147.324038,240,88,328,-1225831.118458,1168712.699924,-57118.41853399994
PURR,6000199.635532,3003248.98367,9003448.619202,302,168,470,-893994.4236320001,2294574.55621,1400580.132578
CAKE,6954177.658012,2047772.80026,9001950.458271999,332,124,456,-1471360.0478969999,1239824.686369,-231535.36152799986
ENS,4513979.445160001,4449511.74534,8963491.1905,101,97,198,269072.86283200013,1853248.77473,2122321.637562
JUP,6194139.960546,2275257.2574299998,8469397.217976,275,137,412,-1600611.508995,3119451.467364,1518839.958369
WIF,6276627.93905,2101173.08768,8377801.02673,241,201,442,-1333415.943021,3554105.70257,2220689.7595490003
HBAR,4308634.355422,4056956.41676,8365590.772182001,226,186,412,80896.09968800002,1457451.3973579998,1538347.4970459999
APT,5091649.958492,2357428.4741599998,7449078.432651999,197,73,270,-854300.2335459999,1917652.0617520001,1063351.8282060004
STBL,5392976.164448,1797895.29966,7190871.464108,230,70,300,-1843035.255171,4270393.410046,2427358.154875
APEX,5371162.83554,1692645.4987,7063808.334240001,118,44,162,-940548.1359590001,1377099.3473130001,436551.211354
SPX,5567455.511564,1482423.380212,7049878.891775999,335,129,464,-1751759.653739,1372601.7001119999,-379157.9536270001
STRK,4720351.480378,2227459.3053860003,6947810.785764,237,143,380,-1039152.432605,1232741.772406,193589.33980099997
ONDO,4752959.729782,1867530.54755,6620490.277332,274,116,390,-1316700.787682,2427286.31179,1110585.524108
ARB,4818488.05989,1640776.131472,6459264.191362,268,156,424,-1750979.1672329998,2508003.102983,757023.9357500004
TRX,4602121.572654,1565228.32158,6167349.894234,59,43,102,-40332.021655000106,138580.33683199988,98248.31517699978
S,4570149.694425,1516855.4022650002,6087005.09669,207,113,320,-2041244.9195410002,2119923.324595,78678.40505399997
SEI,4174542.932891,1313203.6759849999,5487746.608876,246,126,372,-1018661.505124,1463158.3851480002,444496.8800240002
ZORA,3940436.443312,1161727.57037,5102164.013682,242,180,422,-273082.08040599996,461345.821409,188263.74100300006
POPCAT,3099640.564361,1836397.227669,4936037.79203,198,150,348,-582490.180225,3467169.566371,2884679.3861459997
ATOM,3322027.805246,1179206.1832360001,4501233.988482,200,112,312,-1133620.9657220002,821126.100228,-312494.86549400026
DOT,3191601.3640860002,1049882.1400600001,4241483.504146,314,120,434,-699864.824951,655554.986542,-44309.838409000076
BCH,3197534.158616,963587.17235,4161121.330966,125,95,220,-60244.066559,182275.014209,122030.94764999999
PAXG,4106325.96317,19803.3262,4126129.28937,183,5,188,-326610.2737459999,1942.405266,-324667.8684799999
MORPHO,2576820.995423,867112.939317,3443933.93474,145,73,218,-501756.384386,908404.58524,406648.20085400005
VIRTUAL,2544613.700082,827168.2810579999,3371781.98114,208,120,328,-719851.2629890001,1233822.31666,513971.05367099994
W,1724161.247044,1626948.857814,3351110.104858,152,110,262,14989.560956000003,704380.5969819999,719370.1579379999
PENDLE,2395200.957944,780369.8486,3175570.8065440003,149,63,212,-307229.744863,830620.302756,523390.55789299996
AVNT,2178064.5097620003,706546.62534,2884611.135102,106,80,186,-562609.7989119999,1587742.621108,1025132.822196
INJ,2037096.47737,799581.48114,2836677.9585100003,1055,999,2054,-956731.515224,1275284.724325,318553.2091010001
GRASS,2006483.647981,710149.725479,2716633.37346,184,132,316,-787966.848534,1522595.235126,734628.3865919999
CHILLGUY,1446166.830228,1257676.3089019998,2703843.13913,111,89,200,-53644.370758,1031598.269316,977953.8985580001
VINE,1740270.652991,566720.439439,2306991.09243,108,64,172,-533961.356627,733951.041301,199989.68467400002
IO,1319617.840684,723513.01494,2043130.855624,96,56,152,-400943.969902,658774.277523,257830.30762100004
XLM,1292444.586236,413641.16369,1706085.7499260001,137,47,184,-242423.326806,239474.244458,-2949.0823479999963
ZK,941052.837615,760392.175087,1701445.0127019999,168,114,282,-43452.712527,307972.351477,264519.63895
2Z,1244218.1359299999,365828.83953999996,1610046.97547,89,63,152,-395323.684354,301099.557002,-94224.12735200004
SYRUP,1076139.622344,360704.47511999996,1436844.0974639999,48,24,72,-88302.040809,274663.21901299997,186361.17820399997
FXS,943394.450444,313879.023634,1257273.474078,92,58,150,-426495.939964,651013.699408,224517.75944399997
ZEREBRO,690742.195113,416179.972753,1106922.167866,82,64,146,-53989.212289,345271.992126,291282.779837
STX,869577.016433,227644.459827,1097221.47626,96,80,176,-224382.37106099998,142142.988529,-82239.38253199999
BIGTIME,549690.128056,536787.866,1086477.994056,58,56,114,23607.895424000002,265399.855562,289007.750986
RENDER,818129.811167,257773.53597099998,1075903.347138,1021,941,1962,-394139.65772899997,606215.481308,212075.82357900008
SKY,873725.47438,178183.028376,1051908.502756,37,15,52,-257986.65714099997,101657.180115,-156329.47702599998
ETC,771596.039204,256652.95745000002,1028248.996654,20,6,26,-103883.13667,156142.938684,52259.802013999986
VVV,742935.1096839999,261148.280914,1004083.3905979999,20,10,30,-111788.699817,391165.134802,279376.434985
ETHFI,826639.3693510001,158062.177823,984701.5471740001,82,30,112,-817067.8629580002,159578.188528,-657489.6744300001
ZEN,710246.846151,207004.527349,917251.3735,75,43,118,-123385.13963899999,101656.205956,-21728.93368299998
PROMPT,628937.907447,255701.227073,884639.1345200001,75,47,122,-129179.049964,275556.783041,146377.733077
FIL,473198.149547,115479.402533,588677.55208,128,72,200,-227468.454927,196361.23171700002,-31107.223209999996
OP,450258.998599,135346.226969,585605.225568,70,48,118,-121331.741158,168115.07683,46783.335672
SOPH,347478.716502,225827.917176,573306.633678,28,24,52,-8513.486837999999,103677.54819,95164.061352
MELANIA,434004.674779,134891.48423899998,568896.159018,131,117,248,-92440.306246,168148.09817800001,75707.79193200002
KAS,371501.953158,131489.70342,502991.65657800005,34,18,52,-177750.173777,319527.590693,141777.41691600002
BRETT,366339.373362,113603.130232,479942.503594,59,13,72,-84218.792567,194964.592362,110745.799795
FET,343715.07392,100114.50121,443829.57513,55,31,86,-161223.789254,178247.550264,17023.761009999987
kSHIB,352061.16782599996,79633.43028,431694.598106,45,15,60,-69957.631632,51458.597268,-18499.034364000006
OM,324561.001339,105651.757421,430212.75876,40,22,62,-118845.693761,208824.76152,89979.067759
RESOLV,303780.5535,106572.01792000001,410352.57142,32,26,58,-212834.358774,382817.315201,169982.95642700003
ALGO,342993.647362,43681.9209,386675.568262,24,12,36,-143013.02647799999,32847.976917,-110165.04956099999
MEME,285074.380285,94118.89417300001,379193.274458,52,34,86,-48800.178219,106096.59077899999,57296.41255999999
MET,184218.74578,184218.74578,368437.49156,140,140,280,-76125.315517,89999.433651,13874.118134000004
BIO,274634.302606,89759.891864,364394.19447,58,26,84,-136160.580911,211015.346437,74854.765526
TIA,266404.058524,91794.06842,358198.126944,91,65,156,-165130.81094,260314.39005699998,95183.57911699999
POL,258918.82589400004,79833.51589,338752.34178400005,59,35,94,-53789.57505,40041.167854,-13748.407196
YZY,323728.9199,0.0,323728.9199,26,0,26,-113207.575357,0.0,-113207.575357
SUPER,234833.966034,77922.06165,312756.02768400003,43,33,76,-55155.374535999996,109367.483186,54212.10865
NIL,227129.158054,72000.2505,299129.40855399997,34,24,58,-2966.434155,23395.988277,20429.554122
AR,167774.477874,116720.24777200002,284494.725646,69,35,104,-499573.302009,418015.782684,-81557.519325
INIT,224726.828576,56916.60914,281643.437716,44,14,58,-171337.630683,125466.207502,-45871.42318099999
ORDI,206390.63084700002,67581.133511,273971.764358,60,32,92,-91087.354368,119246.08866,28158.734291999994
kFLOKI,202574.181538,67190.271572,269764.45311,35,23,58,-50914.611643000004,95473.225636,44558.613993
SAND,177969.083588,84976.62687000001,262945.710458,44,32,76,-94418.847422,92967.903899,-1450.943523000009
GRIFFAIN,183649.287837,61658.52183500001,245307.809672,60,24,84,-52751.798741,118028.832633,65277.033892
PNUT,166708.58503599997,54250.393670000005,220958.97870599997,36,16,52,-65164.102726000005,103546.384209,38382.28148299999
COMP,158411.363344,51514.111880000004,209925.47522400002,14,8,22,-34307.449494,46300.071154000005,11992.621660000004
GMX,160771.60555100002,33883.261167,194654.866718,36,24,60,-7562.409904,-6705.651132999999,-14268.061037
DYDX,192051.994902,2209.521638,194261.51654,22,8,30,-474576.376364,6034.407193,-468541.969171
AIXBT,139264.17278000002,44869.082736,184133.25551600003,52,36,88,-57340.804552,114287.501686,56946.697134
JTO,151681.954344,27961.43271,179643.387054,26,6,32,-94314.723497,47917.108651,-46397.614846
BANANA,132879.081096,46655.48736,179534.568456,31,25,56,-48984.104532,49291.38346,307.2789279999997
AI16Z,136859.492156,41684.325888,178543.81804399999,80,44,124,-104878.479378,147554.337916,42675.858537999986
DOOD,118810.58396399999,35870.71058,154681.294544,24,20,44,3451.372751,10577.325139,14028.69789
PYTH,126274.54289099999,27470.287779,153744.83067,39,21,60,-30952.635903,59678.467724,28725.831821000003
SUSHI,114540.116644,38669.487654,153209.604298,27,17,44,-53741.64529,55790.137885,2048.492594999996
MOVE,114894.10766000001,37259.453038,152153.56069800002,30,20,50,-17958.455109000002,58996.962716,41038.507607
APE,115956.928776,35430.153758,151387.082534,30,22,52,-44927.743498,76159.127965,31231.384467000003
BOME,106012.88410099999,37621.194703,143634.078804,41,37,78,-41079.480339,60385.713259,19306.232919999995
ME,105856.01945499999,35636.880636999995,141492.90009199997,12,6,18,-18613.992597,54216.664603000005,35602.67200600001
NXPC,104876.85625,35628.44364,140505.29989,25,21,46,-94527.780622,24959.848953,-69567.93166900001
kNEIRO,97473.814799,32835.591395,130309.40619400001,19,11,30,-18141.583434,50951.560201,32809.976767
IMX,114294.430754,14740.892064,129035.322818,41,15,56,-33061.00579,22395.877544000003,-10665.128246
REZ,117540.049956,0.0,117540.049956,4,0,4,-63922.091964,0.0,-63922.091964
TST,116656.30051,1.624928,116657.925438,9,1,10,-59213.151161,0.091876,-59213.059285
MINA,79639.93407500001,28150.883919000004,107790.81799400001,13,5,18,-11149.039906,23198.732677,12049.692771
BABY,77188.924458,23747.275238000002,100936.199696,40,36,76,-15025.797768999999,41516.037048,26490.239279
CFX,71929.200914,23977.062469999997,95906.26338399999,8,4,12,-6430.373893999999,26851.456453,20421.082559
ANIME,84723.93014200001,3032.66018,87756.59032200002,13,9,22,-88508.472237,5486.279888,-83022.19234899999
0G,82701.274844,0.0,82701.274844,2,0,2,-18720.316352,0.0,-18720.316352
SCR,58474.439777,17117.273494999998,75591.713272,34,22,56,17855.762907999997,-22181.965141,-4326.202233000004
USUAL,55850.151120999995,17493.874378999997,73344.02549999999,26,8,34,-46034.814406,52318.738807,6283.924401000004
MOODENG,44579.864307,25068.942815000002,69648.807122,14,6,20,-10503.293062,29741.423357,19238.130295
RSR,49270.434767,13047.939267000002,62318.374034,19,7,26,-21427.423585,20566.466863,-860.956721999999
PROVE,44864.17909,14926.61109,59790.790179999996,13,11,24,-702.43055,10312.73126,9610.30071
NOT,53864.790576,49.335,53914.125576,5,1,6,-175031.712114,130.525,-174901.187114
BLUR,46349.758325999996,0.0,46349.758325999996,6,0,6,-16059.045327,0.0,-16059.045327
XAI,34187.923957,9844.775217,44032.699174,18,14,32,-9189.123689,10963.444833,1774.3211439999995
GOAT,31014.327632,10043.877584000002,41058.205216,21,19,40,5890.996531999999,-46526.140994,-40635.144462000004
TRB,31398.797222,9049.179689999999,40447.976912,30,26,56,6072.618208,-14112.17331,-8039.555102
MANTA,29506.204106,8420.423952,37926.628058,30,24,54,-2009.3224900000002,8502.984105,6493.661614999999
GMT,27402.583872,9397.5968,36800.180672,20,16,36,-4464.02204,6558.255896,2094.233856
IOTA,35311.954612,0.0,35311.954612,4,0,4,-16702.992272,0.0,-16702.992272
kLUNC,27281.648830000002,7536.1049,34817.753730000004,10,8,18,-9669.499632000001,9579.394008000001,-90.1056239999998
YGG,26819.960417000002,5168.617531,31988.577948000002,8,2,10,-7996.539857,1557.577087,-6438.96277
ALT,23961.871242,7178.309714000001,31140.180956000004,32,26,58,2202.721917,-19614.297026,-17411.575109
DYM,23249.914989999997,6646.63593,29896.550919999998,9,7,16,-9117.279094,16689.695467,7572.416373000002
LAYER,22088.529842,6044.351350000001,28132.881192,20,12,32,-9464.827900999999,23854.110374,14389.282473000001
ZETA,19204.294396999998,5830.748878999999,25035.043275999997,19,15,34,1580.849254,-4893.582515,-3312.7332610000003
PEOPLE,17050.871662,5952.269330000001,23003.140992,22,18,40,-2543.330396,3619.8085499999997,1076.478154
BLAST,21347.742268,15.219744,21362.962012000004,5,1,6,-11237.230746,17.1534,-11220.077346
FTT,15983.682768,0.0,15983.682768,10,0,10,-6571.505954000001,0.0,-6571.505954000001
TNSR,14988.658108000001,0.0,14988.658108000001,4,0,4,-26476.43301,0.0,-26476.43301
NEO,12543.672926,12.79944,12556.472366,9,1,10,-7736.333068,1.199208,-7735.13386
GALA,9381.88946,3128.563586,12510.453046,9,3,12,-6647.918981,9115.518316,2467.599335
KAITO,10895.105608,19.3704,10914.476008,5,1,6,-2802.2347229999996,7.8648,-2794.3699229999997
CELO,6730.214832,2287.54152,9017.756352,6,4,10,-863.37636,2249.605697,1386.229337
ACE,6058.526411,1817.819365,7876.345776,6,2,8,545.824734,26.599045,572.4237790000001
MAV,5498.117723,1923.641791,7421.759514,19,15,34,-2461.401404,3157.449487,696.0480829999997
TURBO,4751.777858,1585.2384780000002,6337.016336000001,8,4,12,-2502.957941,2330.580709,-172.37723200000028
HYPER,5506.075078,50.02,5556.095078,5,3,8,1077.404511,-63.351475,1014.0530359999999
GAS,4081.464624,1453.2655,5534.730124,9,5,14,-463.48632399999997,920.6692580000001,457.18293400000016
UMA,4077.7581780000005,0.0,4077.7581780000005,2,0,2,-3384.418536,0.0,-3384.418536
RUNE,1680.67489,1680.67489,3361.34978,7,7,14,-8953.023672,1894.253755,-7058.769917
WCT,181.519884,0.0,181.519884,2,0,2,37.241464,0.0,37.241464
